Id,Ime_ucenika,Prezime_ucenika,Datum_rodjenja_ucenika,OIB,Ime_oca,Adresa_ucenika,Postanski_broj,Mjesto,Naziv_zupanije,Naziv_skole,Adresa_skole,Broj_razreda,Slovo_razreda,Naziv_predmeta,Broj_sati_tjedno,Ime_nastavnika,Prezime_nastavnika,Datum_rodjenja_nastavnika,Pocetak_rada,Kraj_rada,Naziv_zvanja,Broj_ocjene
1,Berri,Sandwick,2009-10-27,16849310969,Claudell,4 Lien Way,12345,Redondos,Pazinska,Osnovna škola Trava,934 Arapahoe Street,4,C,Sociology,2,Isabeau,Serfati,2026-04-03,2025-10-27,,Lecturer,1
2,Gavan,Crockley,2010-07-13,80446710073,Levy,15366 Badeau Crossing,44000,Linquan,Brodsko-posavska,Gimnazija Komet,5 Westerfield Park,2,I,Engineering,5,Brand,Agass,2025-09-30,2026-06-09,,Research professor,4
3,Ronna,Rooms,2009-01-16,78497712496,Lon,018 Stone Corner Pass,20000,Yamaguchi-shi,Brodsko-posavska,Gimnazija Drvo,995 Parkside Point,2,J,Law,4,Codie,Hyne,2026-03-09,2025-09-05,,Asistent,4
4,Becca,Levitt,2011-05-12,96579838598,Vladimir,48743 Sauthoff Avenue,99000,Oslo,Šibensko-kninska,Srednja škola Planeta,316 Starling Park,1,F,Chemistry,3,Teodoor,Laws,2025-12-06,2026-02-28,,Visiting professor,4
5,Austen,Delamere,2009-01-09,18622608857,Skip,2 Doe Crossing Place,44000,Oefatu,Varaždinska,Osnovna škola Voda,2 Kropf Alley,2,B,Physical Education,4,Baryram,Searle,2026-03-30,2025-12-18,,Assistant professor,5
6,Letta,Kinch,2010-07-27,50803069385,Julian,546 Bunker Hill Alley,54321,Fengshan,Šibensko-kninska,Gimnazija Drvo,41151 Glendale Court,4,G,Mathematics,5,Welbie,Olifard,2026-05-24,2025-12-10,,Profesor emeritus,4
7,Linn,Mandeville,2008-08-07,82039490685,Tyler,5 Barnett Road,77800,Yashkul’,Brodsko-posavska,Osnovna škola Zvijezda,13 Loomis Alley,1,I,Engineering,1,Lea,Wheater,2026-06-30,2025-12-09,,Asistent,4
8,Libbey,Barr,2010-12-04,69874597565,Ike,8680 Westend Circle,77000,Kurów,Zadarska,Osnovna škola Sunce,4069 Pennsylvania Hill,3,D,Nursing,4,Augustine,Taffley,2026-06-29,2025-12-21,,Visiting professor,5
9,Adelina,Dat,2009-01-26,21200607866,Sigismund,3 Oak Valley Junction,66000,Messina,Virovitičko-podravska,Osnovna škola Planeta X,31 Mallard Way,4,G,Anthropology,1,Clarabelle,Fernyhough,2026-03-20,2026-05-02,,Assistant professor,2
10,Bird,Toolan,2010-10-03,79094752533,Yves,62 4th Hill,54321,Koper,Osječko-baranjska,Tehnička škola Svemir,2713 Dunning Parkway,2,I,Engineering,2,Molli,Frise,2026-07-09,2026-02-18,,Adjunct professor,1
11,Peggi,Haskell,2009-09-18,87038927796,Skippie,075 Stang Terrace,55000,Ozorków,Varaždinska,Osnovna škola Crna rupa,57 Bonner Hill,1,J,Political Science,1,Emily,Brasher,2026-01-07,2026-01-02,,Predavac,3
